DATEMONTHINT,STATION,PERIOD,RIDERS_PER_WEEKDAY,
201010,Clarendon,AM Peak,1733.5,
201010,Clarendon,Evening,725.7,
201010,Clarendon,Late Night Peak,129.7,
201010,Clarendon,Midday,767.3,
201010,Clarendon,PM Peak,876.7,
201010,Cleveland Park,AM Peak,2271.6,
201010,Cleveland Park,Evening,498.7,
201010,Cleveland Park,Late Night Peak,31.7,
201010,Cleveland Park,Midday,1003.2,
201010,Cleveland Park,PM Peak,713.7,
201010,College Park-U of MD,AM Peak,2049,
201010,College Park-U of MD,Evening,579.3,
201010,College Park-U of MD,Late Night Peak,24.1,
201010,College Park-U of MD,Midday,1188.5,
201010,College Park-U of MD,PM Peak,1359.8,
201010,Columbia Heights,AM Peak,4030,
201010,Columbia Heights,Evening,1864.4,
201010,Columbia Heights,Late Night Peak,97.5,
201010,Columbia Heights,Midday,2793.1,
201010,Columbia Heights,PM Peak,3196.1,
201010,Congress Heights,AM Peak,1368.5,
201010,Congress Heights,Evening,211.4,
201010,Congress Heights,Late Night Peak,8.9,
201010,Congress Heights,Midday,661,
201010,Congress Heights,PM Peak,485.8,
201010,Court House,AM Peak,3461.6,
201010,Court House,Evening,706.8,
201010,Court House,Late Night Peak,34.5,
201010,Court House,Midday,1487.9,
201010,Court House,PM Peak,1951.8,
201010,Crystal City,AM Peak,4373.7,
201010,Crystal City,Evening,1126.1,
201010,Crystal City,Late Night Peak,32.2,
201010,Crystal City,Midday,3349.8,
201010,Crystal City,PM Peak,6576.3,
201010,Deanwood,AM Peak,913.6,
201010,Deanwood,Evening,146.8,
201010,Deanwood,Late Night Peak,5.2,
201010,Deanwood,Midday,426.6,
201010,Deanwood,PM Peak,317.9,
201010,Dunn Loring,AM Peak,3093.8,
201010,Dunn Loring,Evening,291.7,
201010,Dunn Loring,Late Night Peak,8.8,
201010,Dunn Loring,Midday,1032.2,
201010,Dunn Loring,PM Peak,875.3,
201010,Dupont Circle,AM Peak,4220,
201010,Dupont Circle,Evening,5149.3,
201010,Dupont Circle,Late Night Peak,464.6,
201010,Dupont Circle,Midday,4429.2,
201010,Dupont Circle,PM Peak,8555.7,
201010,East Falls Church,AM Peak,2512.6,
201010,East Falls Church,Evening,250.3,
201010,East Falls Church,Late Night Peak,10.5,
201010,East Falls Church,Midday,674.1,
201010,East Falls Church,PM Peak,556.7,
201010,Eastern Market,AM Peak,2357.8,
201010,Eastern Market,Evening,817.9,
201010,Eastern Market,Late Night Peak,61.9,
201010,Eastern Market,Midday,1416.2,
201010,Eastern Market,PM Peak,1581.3,
201010,Eisenhower Avenue,AM Peak,848.4,
201010,Eisenhower Avenue,Evening,189.6,
201010,Eisenhower Avenue,Late Night Peak,17.5,
201010,Eisenhower Avenue,Midday,449.7,
201010,Eisenhower Avenue,PM Peak,651,
201010,Farragut North,AM Peak,1079.3,
201010,Farragut North,Evening,4201.8,
201010,Farragut North,Late Night Peak,130.5,
201010,Farragut North,Midday,3889.2,
201010,Farragut North,PM Peak,14926.5,
201010,Farragut West,AM Peak,1279.7,
201010,Farragut West,Evening,3932.1,
201010,Farragut West,Late Night Peak,104.6,
201010,Farragut West,Midday,3548.4,
201010,Farragut West,PM Peak,14008.6,
201010,Federal Center SW,AM Peak,426.9,
201010,Federal Center SW,Evening,416.6,
201010,Federal Center SW,Late Night Peak,8.3,
201010,Federal Center SW,Midday,1118.4,
201010,Federal Center SW,PM Peak,3812.2,
201010,Federal Triangle,AM Peak,195.4,
201010,Federal Triangle,Evening,863.3,
201010,Federal Triangle,Late Night Peak,17.7,
201010,Federal Triangle,Midday,1451.1,
201010,Federal Triangle,PM Peak,5640.1,
201010,Foggy Bottom,AM Peak,2223.8,
201010,Foggy Bottom,Evening,5139,
201010,Foggy Bottom,Late Night Peak,194.6,
201010,Foggy Bottom,Midday,4266.9,
201010,Foggy Bottom,PM Peak,10833.2,
201010,Forest Glen,AM Peak,1626.2,
201010,Forest Glen,Evening,93.2,
201010,Forest Glen,Late Night Peak,4.6,
201010,Forest Glen,Midday,371.1,
201010,Forest Glen,PM Peak,265.2,
201010,Fort Totten,AM Peak,3615.2,
201010,Fort Totten,Evening,591.6,
201010,Fort Totten,Late Night Peak,21.7,
201010,Fort Totten,Midday,1584.4,
201010,Fort Totten,PM Peak,1349.2,
201010,Franconia-Springfield,AM Peak,6803.7,
201010,Franconia-Springfield,Evening,345.9,
201010,Franconia-Springfield,Late Night Peak,6.2,
201010,Franconia-Springfield,Midday,1618.7,
201010,Franconia-Springfield,PM Peak,819.7,
201010,Friendship Heights,AM Peak,3321.2,
201010,Friendship Heights,Evening,1335.7,
201010,Friendship Heights,Late Night Peak,51.6,
201010,Friendship Heights,Midday,2201.4,
201010,Friendship Heights,PM Peak,2774.7,
201010,Gallery Place-Chinatown,AM Peak,1666.8,
201010,Gallery Place-Chinatown,Evening,8142.5,
201010,Gallery Place-Chinatown,Late Night Peak,526.1,
201010,Gallery Place-Chinatown,Midday,4665.6,
